brand_name,model_name,year,megapixels,sensor_size,model_url,model_image_url,model_image_base64
Canon,Canon EOS 850D,2020,24.10,22.3 x 14.9 mm,specs/canon_eos-850d/,images/cameras/canon_eos-850d.jpg,
Canon,Canon EOS-1D X Mark III,2020,20.10,36 x 24 mm,specs/canon_eos-1d-x-mark-iii/,images/cameras/canon_1d-x-mark-iii.jpg,
Canon,Canon EOS M200,2019,24.10,22.3 x 14.9 mm,specs/canon_eos-m200/,images/cameras/canon_eos-m200.jpg,
Canon,Canon EOS 90D,2019,32.50,22.3 x 14.9 mm,specs/canon_eos-90d/,images/cameras/canon_eos-90d.jpg,
Canon,Canon EOS M6 Mark II,2019,32.50,22.3 x 14.9 mm,specs/canon_eos-m6-mark-ii/,images/cameras/canon_eos-m6-mark-ii.jpg,
Canon,Canon PowerShot G7 X Mark III,2019,20.10,13.2 x 8.8 mm,specs/canon_powershot-g7-x-mark-iii/,images/cameras/canon_g7x-mark-iii.jpg,
Canon,Canon PowerShot G5 X Mark II,2019,20.10,13.2 x 8.8 mm,specs/canon_powershot-g5-x-mark-ii/,images/cameras/canon_g5x-mark-ii.jpg,
Canon,Canon EOS 250D,2019,24.10,22.3 x 14.9 mm,specs/canon_eos-250d/,images/cameras/canon_eos-rebel-sl3.jpg,
Canon,Canon EOS RP,2019,26.20,35.9 x 24 mm,specs/canon_eos-rp/,images/cameras/canon_eos-rp.jpg,
Canon,Canon PowerShot SX70 HS,2018,20.30,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx70-hs/,images/cameras/canon_sx70.jpg,
Canon,Canon EOS R,2018,30.30,36 x 24 mm,specs/canon_eos-r/,images/cameras/canon_eos-r.jpg,
Canon,Canon PowerShot SX740 HS,2018,20.30,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx740-hs/,images/cameras/canon_sx740-hs.jpg,
Canon,Canon EOS M50,2018,24.10,22.3 x 14.9 mm,specs/canon_eos-m50/,images/cameras/canon_eos-m50.jpg,
Canon,Canon EOS Rebel T7,2018,24.10,22.3 x 14.9 mm,specs/canon_eos-rebel-t7/,images/cameras/canon_rebel-t7.jpg,
Canon,Canon EOS 4000D,2018,18.00,22.3 x 14.9 mm,specs/canon_eos-4000d/,images/cameras/canon_eos-4000d.jpg,
Canon,Canon PowerShot G1 X Mark III,2017,24.20,22.3 x 14.9 mm,specs/canon_powershot-g1-x-mark-iii/,images/cameras/canon_g1x-mark-iii.png,
Canon,Canon EOS M100,2017,24.20,22.3 x 14.9 mm,specs/canon_eos-m100/,images/cameras/canon_m100.jpg,
Canon,Canon EOS 6D Mark II,2017,26.20,35.9 x 24 mm,specs/canon_eos-6d-mark-ii/,images/cameras/canon_6d-mark-ii.jpg,
Canon,Canon EOS Rebel SL2,2017,24.20,22.3 x 14.9 mm,specs/canon_eos-rebel-sl2/,images/cameras/canon_eos-200d.jpg,
Canon,Canon PowerShot SX730 HS,2017,20.30,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx730-hs/,images/cameras/canon_sx-730-hs.jpg,
Canon,Canon EOS Rebel T7i,2017,24.20,22.3 x 14.9 mm,specs/canon_eos-rebel-t7i/,images/cameras/canon_rebel-t7i.jpg,
Canon,Canon EOS 77D,2017,24.20,22.3 x 14.9 mm,specs/canon_eos-77d/,images/cameras/canon_77d.jpg,
Canon,Canon EOS M6,2017,24.20,22.3 x 14.9 mm,specs/canon_eos-m6/,images/cameras/canon_m6.jpg,
Canon,Canon PowerShot G9 X Mark II,2017,20.20,13.2 x 8.8 mm,specs/canon_powershot-g9-x-mark-ii/,images/cameras/canon_g9-x.jpg,
Canon,Canon EOS M5,2016,24.20,22.3 x 14.9 mm,specs/canon_eos-m5/,images/cameras/canon_m5.jpg,
Canon,Canon EOS 5D Mark IV,2016,30.10,36 x 24 mm,specs/canon_eos-5d-mark-iv/,images/cameras/canon_eos-5d-iv.jpg,
Canon,Canon PowerShot SX620 HS,2016,20.20,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx620-hs/,images/cameras/powershot-sx620-hs.jpg,
Canon,Canon EOS 1300D,2016,18.00,22.3 x 14.9 mm,specs/canon_eos-1300d/,images/cameras/canon_1300d.png,
Canon,Canon PowerShot G7 X Mark II,2016,20.10,13.2 x 8.8 mm,specs/canon_powershot-g7-x-mark-ii/,images/cameras/canon_g7-x-markii.png,
Canon,Canon PowerShot SX720 HS,2016,20.30,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx720-hs/,images/cameras/canon_sx720-hs.png,
Canon,Canon EOS 80D,2016,24.20,22.5 x 15 mm,specs/canon_eos-80d/,images/cameras/canon_80d.png,
Canon,Canon EOS-1D X Mark II,2016,20.20,36 x 24 mm,specs/canon_eos-1d-x-mark-ii/,images/cameras/canon_1d-x-mark2.png,
Canon,Canon PowerShot ELPH 360 HS,2016,20.20,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-elph-360-hs/,images/cameras/canon_elph-360-hs.png,
Canon,Canon PowerShot ELPH 190 IS,2016,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-elph-190-is/,images/cameras/canon_elph-190-is.png,
Canon,Canon PowerShot ELPH 180,2016,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-elph-180/,images/cameras/canon_ixus-175.png,
Canon,Canon PowerShot SX540 HS,2016,20.30,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx540-hs/,images/cameras/canon_sx540-hs.png,
Canon,Canon PowerShot SX420 IS,2016,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx420-is/,images/cameras/canon_sx420-is.png,
Canon,Canon EOS M10,2015,18.00,22.3 x 14.9 mm,specs/canon_eos-m10/,images/cameras/canon_eos-m10.png,
Canon,Canon PowerShot G5 X,2015,20.20,13.2 x 8.8 mm,specs/canon_powershot-g5-x/,images/cameras/canon_powershot-g5x.png,
Canon,Canon PowerShot G9 X,2015,20.20,13.2 x 8.8 mm,specs/canon_powershot-g9-x/,images/cameras/canon_powershot-g9x.png,
Canon,Canon PowerShot G3 X,2015,20.20,13.2 x 8.8 mm,specs/canon_powershot-g3-x/,images/cameras/canon_powershot-g3-x.png,
Canon,Canon EOS M3,2015,24.20,22.3 x 14.9 mm,specs/canon_eos-m3/,images/cameras/canon_eos-m3.png,
Canon,Canon EOS Rebel T6s,2015,24.20,22.3 x 14.9 mm,specs/canon_eos-rebel-t6s/,images/cameras/canon_eos-rebel-t6s.png,
Canon,Canon EOS Rebel T6i,2015,24.20,22.3 x 14.9 mm,specs/canon_eos-rebel-t6i/,images/cameras/canon_eos-rebel-t6i.png,
Canon,Canon EOS 5DS R,2015,50.60,36 x 24 mm,specs/canon_eos-5ds-r/,images/cameras/canon_eos-5ds-r.png,
Canon,Canon EOS 5DS,2015,50.60,36 x 24 mm,specs/canon_eos-5ds/,images/cameras/canon_eos-5ds.png,
Canon,Canon PowerShot ELPH 350 HS,2015,20.20,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-elph-350-hs/,images/cameras/canon_elph-350-hs.png,
Canon,Canon PowerShot SX410 IS,2015,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx410-is/,images/cameras/canon_sx410-is.png,
Canon,Canon PowerShot SX710 HS,2015,20.30,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx710-hs/,images/cameras/canon_sx710-hs.png,
Canon,Canon PowerShot SX610 HS,2015,20.20,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx610-hs/,images/cameras/canon_sx610-hs.png,
Canon,Canon PowerShot SX530 HS,2015,16.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx530-hs/,images/cameras/canon_530-hs.png,
Canon,Canon PowerShot ELPH 170 IS,2015,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_elph-170-is/,images/cameras/canon_elph-170-is.png,
Canon,Canon PowerShot ELPH 160,2015,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_elph-160/,images/cameras/canon_elph-160.png,
Canon,Canon IXUS 165,2015,20.00,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_ixus-165/,images/cameras/canon_ixus-165.png,
Canon,Canon EOS 7D Mark II,2014,20.20,22.4 x 15 mm,specs/canon_eos-7d-mark-ii/,images/cameras/canon_eos-7d-mark2.png,
Canon,Canon PowerShot G7 X,2014,20.20,13.2 x 8.8 mm,specs/canon_powershot-g7-x/,images/cameras/canon_g7-x.png,
Canon,Canon PowerShot SX60 HS,2014,16.10,"1/2.3"" (~ 6.16 x 4.62 mm)",specs/canon_powershot-sx60-hs/,images/cameras/canon_sx60-hs.png,
